,symbolling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,horsepower-binned,diesel,gas,std,turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486304661,0.890277777777778,0.816053511705686,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.1904761904762,27,13495,Low,0,1,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486304661,0.890277777777778,0.816053511705686,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.1904761904762,27,16500,Low,0,1,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.822681403171552,0.909722222222222,0.876254180602007,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,12.3684210526316,26,16500,Medium,0,1,1,0
3,2,164,audi,four,sedan,fwd,front,99.8,0.848630466122057,0.919444444444444,0.908026755852843,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,9.79166666666667,30,13950,Low,0,1,1,0
4,2,164,audi,four,sedan,4wd,front,99.4,0.848630466122057,0.922222222222222,0.908026755852843,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,13.0555555555556,22,17450,Low,0,1,1,0
5,2,122,audi,two,sedan,fwd,front,99.8,0.851994233541567,0.920833333333333,0.887959866220736,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.3684210526316,25,15250,Low,0,1,1,0
6,1,158,audi,four,sedan,fwd,front,105.8,0.925997116770783,0.991666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.3684210526316,25,17710,Low,0,1,1,0
7,1,122,audi,four,wagon,fwd,front,105.8,0.925997116770783,0.991666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.3684210526316,25,18920,Low,0,1,1,0
8,1,158,audi,four,sedan,fwd,front,105.8,0.925997116770783,0.991666666666667,0.934782608695652,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,13.8235294117647,20,23875,Medium,0,1,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913043478,29,16430,Low,0,1,1,0
10,0,192,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913043478,29,16925,Low,0,1,1,0
11,0,188,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.1904761904762,28,20970,Medium,0,1,1,0
12,0,188,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.1904761904762,28,21105,Medium,0,1,1,0
13,1,122,bmw,four,sedan,rwd,front,103.5,0.90821720326766,0.929166666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.75,25,24565,Medium,0,1,1,0
14,0,122,bmw,four,sedan,rwd,front,103.5,0.90821720326766,0.929166666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,22,30760,Medium,0,1,1,0
15,0,122,bmw,two,sedan,rwd,front,103.5,0.931283037001442,0.943055555555556,0.897993311036789,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,22,41315,Medium,0,1,1,0
16,0,122,bmw,four,sedan,rwd,front,110,0.94666025949063,0.984722222222222,0.941471571906355,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15.6666666666667,20,36880,Medium,0,1,1,0
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.678039404132629,0.8375,0.889632107023411,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5,53,5151,Low,0,1,1,0
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.749159058145123,0.883333333333333,0.869565217391304,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.18421052631579,43,6295,Low,0,1,1,0
19,0,81,chevrolet,four,sedan,fwd,front,94.5,0.763094666025949,0.883333333333333,0.869565217391304,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.18421052631579,43,6575,Low,0,1,1,0
20,1,118,dodge,two,hatchback,fwd,front,93.7,0.755886592984142,0.886111111111111,0.849498327759197,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.35135135135135,41,5572,Low,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,0.755886592984142,0.886111111111111,0.849498327759197,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58064516129032,38,6377,Low,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,0.755886592984142,0.886111111111111,0.849498327759197,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.79166666666667,30,7957,Low,0,1,0,1
23,1,148,dodge,four,hatchback,fwd,front,93.7,0.755886592984142,0.886111111111111,0.846153846153846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58064516129032,38,6229,Low,0,1,1,0
24,1,148,dodge,four,sedan,fwd,front,93.7,0.755886592984142,0.886111111111111,0.846153846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58064516129032,38,6692,Low,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,0.755886592984142,0.886111111111111,0.846153846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58064516129032,38,7609,Low,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,0.755886592984142,0.886111111111111,0.846153846153846,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.79166666666667,30,8558,Low,0,1,0,1
27,-1,110,dodge,four,wagon,fwd,front,103.3,0.839019702066314,0.897222222222222,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.79166666666667,30,8921,Low,0,1,1,0
28,3,145,dodge,two,hatchback,fwd,front,95.9,0.832292167227294,0.920833333333333,0.839464882943144,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,12.3684210526316,24,12964,Medium,0,1,0,1
29,2,137,honda,two,hatchback,fwd,front,86.6,0.694858241230178,0.8875,0.849498327759197,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.79591836734694,54,6479,Low,0,1,1,0
30,2,137,honda,two,hatchback,fwd,front,86.6,0.694858241230178,0.8875,0.849498327759197,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.58064516129032,38,6855,Low,0,1,1,0
31,1,101,honda,two,hatchback,fwd,front,93.7,0.720807304180682,0.888888888888889,0.879598662207358,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.18421052631579,42,5399,Low,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,0.720807304180682,0.888888888888889,0.879598662207358,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.83333333333333,34,6529,Low,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,0.720807304180682,0.888888888888889,0.879598662207358,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.83333333333333,34,7129,Low,0,1,1,0
34,0,110,honda,four,sedan,fwd,front,96.5,0.785199423354157,0.888888888888889,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.83333333333333,34,7295,Low,0,1,1,0
35,0,78,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.8875,0.974916387959866,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.83333333333333,34,7295,Low,0,1,1,0
36,0,106,honda,two,hatchback,fwd,front,96.5,0.804901489668429,0.905555555555556,0.891304347826087,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.7037037037037,33,7895,Low,0,1,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5,0.804901489668429,0.905555555555556,0.891304347826087,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.7037037037037,33,9095,Low,0,1,1,0
38,0,85,honda,four,sedan,fwd,front,96.5,0.842864007688611,0.905555555555556,0.904682274247492,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.7037037037037,33,8845,Low,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,0.842864007688611,0.868055555555556,0.904682274247492,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.7037037037037,33,10295,Low,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,0.842864007688611,0.905555555555556,0.904682274247492,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,9.79166666666667,28,12945,Low,0,1,1,0
41,1,107,honda,two,sedan,fwd,front,96.5,0.812590100913022,0.916666666666667,0.852842809364548,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4,31,10345,Low,0,1,1,0
42,0,122,isuzu,four,sedan,rwd,front,94.3,0.820278712157617,0.858333333333333,0.894648829431438,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,9.79166666666667,29,6785,Low,0,1,1,0
43,2,122,isuzu,two,hatchback,rwd,front,96,0.829408938010572,0.905555555555556,0.859531772575251,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,9.79166666666667,29,11048,Low,0,1,1,0
44,0,145,jaguar,four,sedan,rwd,front,113,0.959154252763095,0.966666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.6666666666667,19,32250,Medium,0,1,1,0
45,0,122,jaguar,four,sedan,rwd,front,113,0.959154252763095,0.966666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.6666666666667,19,35550,Medium,0,1,1,0
46,0,122,jaguar,two,sedan,rwd,front,102,0.921191734742912,0.980555555555556,0.79933110367893,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,18.0769230769231,17,36000,High,0,1,1,0
47,1,104,mazda,two,hatchback,fwd,front,93.1,0.76453628063431,0.891666666666667,0.904682274247492,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.83333333333333,31,5195,Low,0,1,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1,0.76453628063431,0.891666666666667,0.904682274247492,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.58064516129032,38,6095,Low,0,1,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1,0.76453628063431,0.891666666666667,0.904682274247492,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.58064516129032,38,6795,Low,0,1,1,0
50,1,113,mazda,four,sedan,fwd,front,93.1,0.801537722248919,0.891666666666667,0.904682274247492,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.58064516129032,38,6695,Low,0,1,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1,0.801537722248919,0.891666666666667,0.904682274247492,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,7.58064516129032,38,7395,Low,0,1,1,0
52,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109562710235,0.9125,0.82943143812709,2380,rotor,two,70,4bbl,3.32975124378109,3.25542288557214,9.4,101,6000,13.8235294117647,23,10945,Low,0,1,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109562710235,0.9125,0.82943143812709,2380,rotor,two,70,4bbl,3.32975124378109,3.25542288557214,9.4,101,6000,13.8235294117647,23,11845,Low,0,1,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109562710235,0.9125,0.82943143812709,2385,rotor,two,70,4bbl,3.32975124378109,3.25542288557214,9.4,101,6000,13.8235294117647,23,13645,Low,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109562710235,0.9125,0.82943143812709,2500,rotor,two,80,mpfi,3.32975124378109,3.25542288557214,9.4,135,6000,14.6875,23,15645,Medium,0,1,1,0
56,1,129,mazda,two,hatchback,fwd,front,98.8,0.854396924555502,0.923611111111111,0.897993311036789,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.03846153846154,32,8845,Low,0,1,1,0
57,0,115,mazda,four,sedan,fwd,front,98.8,0.854396924555502,0.923611111111111,0.92809364548495,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.03846153846154,32,8495,Low,0,1,1,0
58,1,129,mazda,two,hatchback,fwd,front,98.8,0.854396924555502,0.923611111111111,0.897993311036789,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.03846153846154,32,10595,Low,0,1,1,0
59,0,115,mazda,four,sedan,fwd,front,98.8,0.854396924555502,0.923611111111111,0.92809364548495,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.03846153846154,32,10245,Low,0,1,1,0
60,0,122,mazda,four,sedan,fwd,front,98.8,0.854396924555502,0.923611111111111,0.92809364548495,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,6.52777777777778,42,10795,Low,1,0,1,0
61,0,115,mazda,four,hatchback,fwd,front,98.8,0.854396924555502,0.923611111111111,0.92809364548495,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.03846153846154,32,11245,Low,0,1,1,0
62,0,118,mazda,four,sedan,rwd,front,104.9,0.840941854877463,0.918055555555556,0.909698996655518,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,12.3684210526316,27,18280,Medium,0,1,1,0
63,0,122,mazda,four,sedan,rwd,front,104.9,0.840941854877463,0.918055555555556,0.909698996655518,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,7.58064516129032,39,18344,Low,1,0,1,0
64,-1,93,mercedes-benz,four,sedan,rwd,front,110,0.917347429120615,0.976388888888889,0.944816053511706,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.6818181818182,25,25552,Medium,1,0,0,1
65,-1,93,mercedes-benz,four,wagon,rwd,front,110,0.917347429120615,0.976388888888889,0.981605351170569,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.6818181818182,25,28248,Medium,1,0,0,1
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.901009130225853,0.976388888888889,0.918060200668896,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.6818181818182,25,28176,Medium,1,0,0,1
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.973570398846708,0.995833333333333,0.941471571906355,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.6818181818182,25,31600,Medium,1,0,0,1
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.973570398846708,0.995833333333333,0.944816053511706,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,18,34184,Medium,0,1,1,0
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.86641037962518,0.979166666666667,0.849498327759197,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,18,35056,Medium,0,1,1,0
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9,1,0.995833333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,16.7857142857143,16,40960,Medium,0,1,1,0
71,1,122,mercedes-benz,two,hardtop,rwd,front,112,0.957232099951946,1,0.926421404682274,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,16.7857142857143,16,45400,Medium,0,1,1,0
72,1,122,mercury,two,hatchback,rwd,front,102.7,0.857280153772225,0.944444444444444,0.916387959866221,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,12.3684210526316,24,16503,Medium,0,1,0,1
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886592984142,0.894444444444444,0.849498327759197,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.35135135135135,41,5389,Low,0,1,1,0
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886592984142,0.894444444444444,0.849498327759197,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.58064516129032,38,6189,Low,0,1,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886592984142,0.894444444444444,0.849498327759197,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.58064516129032,38,6669,Low,0,1,1,0
76,1,161,mitsubishi,two,hatchback,fwd,front,93,0.755886592984142,0.886111111111111,0.849498327759197,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.79166666666667,30,7689,Low,0,1,0,1
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.83133109082172,0.908333333333333,0.826086956521739,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913043478,30,9959,Low,0,1,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.83133109082172,0.908333333333333,0.826086956521739,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8499,Low,0,1,1,0
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167227294,0.920833333333333,0.839464882943144,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,12.3684210526316,24,12629,Medium,0,1,0,1
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167227294,0.920833333333333,0.839464882943144,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.3684210526316,24,14869,Medium,0,1,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167227294,0.920833333333333,0.839464882943144,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.3684210526316,24,14489,Medium,0,1,0,1
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447861604998,0.908333333333333,0.862876254180602,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,6989,Low,0,1,1,0
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447861604998,0.908333333333333,0.862876254180602,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8189,Low,0,1,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447861604998,0.908333333333333,0.862876254180602,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913043478,30,9279,Low,0,1,0,1
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.828447861604998,0.908333333333333,0.862876254180602,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913043478,30,9279,Low,0,1,1,0
86,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.886111111111111,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,5499,Low,0,1,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.886111111111111,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.22222222222222,50,7099,Low,1,0,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.886111111111111,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,6649,Low,0,1,1,0
89,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.886111111111111,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,6849,Low,0,1,1,0
90,1,103,nissan,four,wagon,fwd,front,94.5,0.817876021143681,0.886111111111111,0.894648829431438,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,7349,Low,0,1,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.886111111111111,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,7299,Low,0,1,1,0
92,1,128,nissan,two,hatchback,fwd,front,94.5,0.795771263815473,0.886111111111111,0.891304347826087,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,7799,Low,0,1,1,0
93,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.886111111111111,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,7499,Low,0,1,1,0
94,1,103,nissan,four,wagon,fwd,front,94.5,0.817876021143681,0.886111111111111,0.894648829431438,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,7999,Low,0,1,1,0
95,2,168,nissan,two,hardtop,fwd,front,95.1,0.780394041326286,0.886111111111111,0.891304347826087,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58064516129032,37,8249,Low,0,1,1,0
96,0,106,nissan,four,hatchback,fwd,front,97.2,0.833253243632869,0.905555555555556,0.914715719063545,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.7037037037037,34,8949,Low,0,1,1,0
97,0,106,nissan,four,sedan,fwd,front,97.2,0.833253243632869,0.905555555555556,0.914715719063545,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.7037037037037,34,9549,Low,0,1,1,0
98,0,128,nissan,four,sedan,fwd,front,100.4,0.8731379144642,0.923611111111111,0.921404682274248,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.8235294117647,22,13499,Medium,0,1,1,0
99,0,108,nissan,four,wagon,fwd,front,100.4,0.887073522345026,0.923611111111111,0.938127090301003,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.8235294117647,22,14399,Medium,0,1,1,0
100,0,108,nissan,four,sedan,fwd,front,100.4,0.887073522345026,0.923611111111111,0.921404682274248,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,12.3684210526316,25,13499,Medium,0,1,1,0
101,3,194,nissan,two,hatchback,rwd,front,91.3,0.820278712157617,0.943055555555556,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,12.3684210526316,25,17199,Medium,0,1,1,0
102,3,194,nissan,two,hatchback,rwd,front,91.3,0.820278712157617,0.943055555555556,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,13.8235294117647,23,19699,High,0,1,0,1
103,1,231,nissan,two,hatchback,rwd,front,99.2,0.857760691975012,0.943055555555556,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,12.3684210526316,25,18399,Medium,0,1,1,0
104,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.95,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.3684210526316,24,11900,Low,0,1,1,0
105,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.95,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21,95,4150,8.39285714285714,33,13200,Low,1,0,0,1
106,0,122,peugot,four,wagon,rwd,front,114.2,0.955790485343585,0.95,0.981605351170569,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.3684210526316,24,12440,Low,0,1,1,0
107,0,122,peugot,four,wagon,rwd,front,114.2,0.955790485343585,0.95,0.981605351170569,3430,l,four,152,idi,3.7,3.52,21,95,4150,9.4,25,13860,Low,1,0,0,1
108,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.95,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.3684210526316,24,15580,Low,0,1,1,0
